index,character,Sentiment Index
28,liu biao,59.98389999999999
43,sun quan,53.48989999999996
44,taishi ci,44.7535
27,liu bei,43.560399999999944
69,zhuge liang,30.59129999999996
12,gan ning,15.43989999999999
33,lu xun,9.687800000000001
10,dong cheng,7.979900000000012
32,lu su,5.625800000000002
34,meng da,5.204600000000004
45,wang ping,0.45709999999999895
46,wang yun,0.29160000000000064
66,zhou tai,-1.4267
20,huang gai,-1.491799999999997
29,liu zhang,-1.7123
11,dong zhuo,-2.3318
24,liao hua,-2.7131999999999987
67,zhou yu,-2.9389000000000016
37,sima shi,-3.5606000000000013
9,diao chan,-3.6752
8,dian wei,-3.8773999999999993
40,sun ce,-5.423899999999998
0,cai mao,-5.6095999999999995
26,ling tong,-5.932300000000001
13,gongsun zan,-6.272299999999998
36,pang tong,-6.824000000000001
6,chen gong,-7.111200000000001
68,zhuge dan,-7.625300000000003
23,jia xu,-7.8145999999999995
61,zhang lu,-7.992500000000001
25,li dian,-9.173300000000003
53,yuan shang,-9.346400000000001
18,guo jia,-9.9745
62,zhang yi,-10.198899999999998
35,pang de,-10.317599999999999
63,zhang zhao,-10.933000000000002
47,wei yan,-12.454899999999999
19,guo si,-13.242600000000003
41,sun jian,-13.56780000000001
15,guan xing,-13.666000000000002
5,cao shuang,-13.720099999999992
39,sima zhao,-15.122800000000002
14,guan ping,-15.435099999999986
58,zhang bao,-15.539299999999994
38,sima yi,-16.50219999999999
52,xu huang,-17.58000000000001
65,zhong hui,-17.9657
64,zhao zilong,-18.903799999999997
56,yuan tan,-18.986499999999996
57,yu jin,-20.695400000000006
3,cao pi,-21.98629999999999
49,xiahou dun,-22.447799999999997
51,xu chu,-25.345000000000006
42,sun qian,-25.949799999999954
4,cao ren,-26.0546
54,yuan shao,-33.6588
22,jiang wei,-35.223000000000006
16,guan yu,-36.10389999999998
7,deng ai,-37.02760000000002
21,huang zhong,-40.64659999999998
30,lu bu,-40.98290000000002
50,xiahou yuan,-41.72969999999998
17,guo huai,-42.01959999999999
31,lu meng,-43.76750000000002
59,zhang fei,-45.41689999999998
48,xiahou ba,-45.9506
2,cao hong,-62.082899999999945
60,zhang liao,-70.21170000000008
55,yuan shu,-78.97170000000011
1,cao cao,-89.00080000000008
